General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALC03WEO1,Canada,GMT-6,324509.0014,5928961.535,12U,,,5/1/2020,22:19:13,Mammalia,Carnivora,Felidae,Felis,catus,1,4/21/2020,8/3/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALC03WEO1,Canada,GMT-6,324509.0014,5928961.535,12U,,,5/1/2020,22:19:14,Mammalia,Carnivora,Felidae,Felis,catus,1,4/21/2020,8/3/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Winter 2,Season Winter 2,1/2/2020,22:21:42,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Winter 2,Season Winter 2,1/2/2020,22:21:43,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Winter 2,Season Winter 2,1/2/2020,22:21:44,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/2/2020,22:10:15,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/2/2020,22:10:17,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/2/2020,22:10:18,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Summer 3,Season Summer 3,7/30/2020,3:51:10,Mammalia,Carnivora,Felidae,Felis,catus,1,4/4/2020,8/5/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Summer 3,Season Summer 3,7/30/2020,3:51:12,Mammalia,Carnivora,Felidae,Felis,catus,1,4/4/2020,8/5/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 2,Season Fall 2,10/22/2019,2:50:56,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2019,12/18/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 2,Season Fall 2,10/22/2019,2:50:57,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2019,12/18/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 2,Season Fall 2,10/22/2019,2:50:58,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2019,12/18/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,5/25/2020,23:42:10,Mammalia,Carnivora,Felidae,Felis,catus,1,12/11/2019,5/29/2020,RECONYX,HF2 PRO COVERT,Yes,No,,3,,Domestic cat
